name,path,id.x,title,authoryearofbirth,authoryearofdeath,downloads,subjects,publisher,type,author_clean,Last,First,country_code,average_rating,publication_year,ratings_count,authors,text_reviews_count,average_rating_quant,PC1,num_tokens,choices,req_num,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,n,detect_fict,detect_juvenile,detect_stories,detect_drama,detect_history,rew_num,mean_word_length,perc_stop,lexical_diversity
PG1342_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG1342_tokens.txt,PG1342,Pride and Prejudice,1775,1817,31755,domestic fiction social classes fiction sisters fiction love stories courtship fiction england fiction young women fiction,Modern Library,Text,Jane Austen,Austen,Jane,US,4.26,2000,2681039,",Jane Austen:1265, Anna Quindlen:3500,",43768,0.95,-85.73619,119035,Pride and Prejudice by Jane Austen,1,0.01034149619859705,0.029520729197294912,0.0077372201453354056,0.014407527197882975,0.02738690301171924,0.02993237283152014,0.061410509514008484,0.014348720964422228,0.01365144705338766,0.03457806527491914,NA,1,0,1,0,0,1,6.310555064045851,0.5632040996345613,0.05164027386903012
PG11_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG11_tokens.txt,PG11,Alice's Adventures in Wonderland,1832,1898,16547,fantasy literature,Penguin Group (USA),Text,Lewis Carroll,Carroll,Lewis,US,4.06,2000,388944,",Lewis Carroll:8164, John Tenniel:180439, Martin Gardner:7105,",6173,0.85,-32.75318,26692,Alice's Adventures in Wonderland by Lewis Carroll,2,0.013186977859363878,0.02300228524332222,0.008279324167384708,0.015247443149889484,0.014385794028396959,0.026673659760986027,0.03551492900760499,0.013898774959727269,0.009740381373393774,0.017757464503802493,NA,0,0,0,0,0,2,5.294805398618958,0.522571460682576,0.09800322181845428
PG2701_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG2701_tokens.txt,PG2701,"Moby Dick; Or, The Whale",1819,1891,14337,whaling ships fiction mentally ill fiction ship captains fiction ahab captain fictitious character fiction whales fiction sea stories adventure stories psychological fiction whaling fiction,Penguin Classics,Text,Herman Melville,Melville,Herman,US,3.5,2003,418771,",Herman Melville:1624, Andrew Delbanco:13903, <U+0425><U+0435><U+0440><U+043C><U+0430><U+043D> <U+041C><U+0435><U+043B><U+0432><U+0438><U+043B>:7214152, Tom Quirk:21818, <U+041D><U+0435><U+0432><U+044F><U+043D><U+0430> <U+0420><U+043E><U+0437><U+0435><U+0432><U+0430>:5128524, Rockwell Kent:171263,",9401,0.5,-29.19593,210258,"Moby Dick; Or, The Whale by Herman Melville",3,0.013469166452643894,0.023528236737722228,0.009673829295437034,0.02052716186780051,0.015309762292041207,0.03460034814370916,0.045016123048825726,0.016308535228148274,0.010520408260327787,0.025230906790704753,NA,1,0,1,0,0,3,5.765574660972503,0.4921667665439603,0.07800892237156255
PG1661_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG1661_tokens.txt,PG1661,The Adventures of Sherlock Holmes,1859,1930,13269,holmes sherlock fictitious character fiction detective and mystery stories english private investigators england fiction,Penguin Books,Text,Arthur Conan Doyle,Doyle,Arthur Conan,US,4.41,1986,41367,",Richard Lancelyn Green:26513, Ronald Knox:8178205, Julian Symons:30747, F.P. Cilli<U+FFFD>:7122465, D.O. Smith:17321503, Arthur Whitaker:1396495, Vincent Starrett:50943, Stuart   Palmer:99754, S.C. Roberts:1530877, W.R. Duncan Macmillan:17321504, Adrian Conan Doyle:43274,",40,0.95,-23.15261,102881,The Adventures of Sherlock Holmes by Arthur Conan Doyle,4,0.012247159339430993,0.021257569424869508,0.008893770472682031,0.018215219525471175,0.01724322275250046,0.03239665244311389,0.042894217591197596,0.01666974465644774,0.012101359823485387,0.028440625577123083,NA,1,0,1,0,0,4,5.734603682235103,0.5623390130344768,0.07395923445534161
PG345_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG345_tokens.txt,PG345,Dracula,1847,1912,11695,dracula count fictitious character fiction transylvania romania fiction horror tales epistolary fiction whitby england fiction vampires fiction gothic fiction literary genre,Norton,Text,Bram Stoker,Stoker,Bram,US,4,1986,809227,",Bram Stoker:6988, Nina Auerbach:28273, David J. Skal:44926,",15773,0.85,-29.40385,159075,Dracula by Bram Stoker,5,0.014093980826654093,0.025264812195505266,0.010491906333490493,0.022662266226622662,0.01953166745245953,0.03407826496935408,0.04562627691340563,0.018274398868458275,0.01201948766305202,0.027358164387867357,NA,1,0,0,0,0,5,5.444747592857246,0.5645261669024045,0.056401068678296404
PG74_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG74_tokens.txt,PG74,The Adventures of Tom Sawyer,1835,1910,11645,male friendship fiction bildungsromans runaway children fiction missouri fiction humorous stories child witnesses fiction boys fiction adventure stories sawyer tom fictitious character fiction mississippi river valley fiction,Penguin Classics,Text,Mark Twain,Twain,Mark,US,3.91,2006,689274,",Mark Twain:1244, Guy Cardwell:2022, John Seelye:22653,",7119,0.75,-27.88479,71349,The Adventures of Tom Sawyer by Mark Twain,6,0.017533286615276804,0.02608269096005606,0.014828311142256483,0.021934127540294324,0.01913104414856342,0.04124737210932025,0.0404625087596356,0.02284512964260687,0.012725998598458304,0.024386825508058863,NA,1,0,1,0,0,6,5.4209073418286255,0.49736510161177294,0.10215837421163279
PG98_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG98_tokens.txt,PG98,A Tale of Two Cities,1812,1870,11283,french england london fiction lookalikes fiction paris france history fiction executions and executioners fiction london england history th century fiction france history revolution fiction british france paris fiction war stories historical fiction,Penguin Books,Text,Charles Dickens,Dickens,Charles,US,3.84,2003,739926,",Charles Dickens:239579, Richard Maxwell:61986,",12743,0.75,-27.84605,137385,A Tale of Two Cities by Charles Dickens,7,0.016544626089994612,0.024478476700682747,0.011318474953779861,0.022192945423842314,0.0189175025111729,0.036444761474968335,0.04688250622334154,0.019907414147001878,0.012119138776876828,0.03088378728545849,NA,1,0,1,0,1,7,5.834460822342901,0.5308837872854585,0.07124452273157382
PG2591_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG2591_tokens.txt,PG2591,Grimms' Fairy Tales,1785,1863,10270,fairy tales germany,Pantheon Books,Text,Jacob Grimm,Grimm,Jacob,US,4.29,1976,126700,",Jacob Grimm:2938140, Wilhelm Grimm:2938141, Josef Scharl:283944, Padraic Colum:2726692, Joseph Campbell:20105, Margaret Raine Hunt:4025890,",1369,0.95,-19.00907,100187,Grimms' Fairy Tales by Jacob Grimm,8,0.011698124507171588,0.02472376655653927,0.008903350734127182,0.014632636968868216,0.023396249014343177,0.02772814836256201,0.04668270334474533,0.015510994440396459,0.011338796450637309,0.025542236018645133,NA,0,0,0,0,0,8,5.0619840364880275,0.5623184644714384,0.0463732819627297
PG219_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG219_tokens.txt,PG219,Heart of Darkness,1857,1924,10267,europeans africa fiction africa fiction trading posts fiction psychological fiction imperialism fiction degeneration fiction,Green Integer,Text,Joseph Conrad,Conrad,Joseph,US,3.42,2003,338079,",Joseph Conrad:3345, An<U+FFFD>bal Fernandes:2858434,",8798,0.5,-21.28008,37713,Heart of Darkness by Joseph Conrad,9,0.01747408055577652,0.02187574576406014,0.013125447458436083,0.02460689947763371,0.015405828228992655,0.0432476864741601,0.04112640203643306,0.02293638798292366,0.01248906212711797,0.022777291650094133,NA,1,0,0,0,0,9,5.898890541004232,0.5363402540238115,0.13963354811338266
PG6130_tokens.txt,./Data/Gutenberg-2018/SPGC-tokens-2018-07-18/PG6130_tokens.txt,PG6130,The Iliad,-750,-650,9756,epic poetry greek translations into english trojan war poetry achilles mythological character poetry classical literature,Penguin Classics,Text,Homer,Homer,NA,US,3.87,1999,298875,",Homer:903, Robert Fagles:1005, Emilio Crespo:3118846, Bernard Knox:280215, M. Cuesta:19685456, C. Garc<U+FFFD>a Gual:16585282,",3604,0.75,-20.05601,192982,The Iliad by Homer,10,0.03276989563793514,0.028899068306888726,0.016255402058223047,0.04152718906426506,0.025111150262718804,0.06208869220963613,0.06221305613995087,0.026997336539159093,0.012524484148780716,0.03441771771460551,NA,0,0,0,0,0,10,5.387607792479838,0.40630732399912944,0.06365878682985977
